Mfr Name,Carline,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Air Aspiration Method Desc,Trans Desc,# Gears,Drive Desc,Annual Fuel Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class Desc,Release Date,Stop/Start System (Engine Management System)  Description,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted
BMW,230i xDrive Coupe,2,4,Auto(S8),24,34,Turbocharged,Semi-Automatic,8,All Wheel Drive,1950,2,2,Subcompact Cars,7/1/22,Yes,360,259
BMW,430i Convertible,2,4,Auto(S8),25,34,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",1950,2,2,Subcompact Cars,7/13/22,Yes,356,261
BMW,430i Coupe,2,4,Auto(S8),25,34,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",1950,2,2,Subcompact Cars,7/13/22,Yes,356,261
BMW,430i xDrive Convertible,2,4,Auto(S8),23,33,Turbocharged,Semi-Automatic,8,All Wheel Drive,2050,2,2,Subcompact Cars,7/1/22,Yes,376,266
BMW,430i xDrive Coupe,2,4,Auto(S8),23,33,Turbocharged,Semi-Automatic,8,All Wheel Drive,2050,2,2,Subcompact Cars,7/1/22,Yes,376,266
BMW,840i Convertible,3,6,Auto(S8),21,29,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2300,2,2,Subcompact Cars,4/4/22,Yes,427,310
BMW,840i Coupe,3,6,Auto(S8),21,29,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2300,2,2,Subcompact Cars,4/4/22,Yes,425,308
BMW,840i xDrive Convertible,3,6,Auto(S8),21,29,Turbocharged,Semi-Automatic,8,All Wheel Drive,2300,2,2,Subcompact Cars,4/4/22,Yes,426,308
BMW,840i xDrive Coupe,3,6,Auto(S8),21,29,Turbocharged,Semi-Automatic,8,All Wheel Drive,2300,2,2,Subcompact Cars,4/4/22,Yes,426,308
BMW,M2 Coupe,3,6,Auto(S8),16,23,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2900,2,2,Subcompact Cars,11/1/22,Yes,544,386
BMW,M2 Coupe,3,6,Manual(M6),16,24,Turbocharged,Manual,6,"2-Wheel Drive, Rear",2900,2,2,Subcompact Cars,11/1/22,Yes,534,372
BMW,M240i Coupe,3,6,Auto(S8),22,32,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2100,2,2,Subcompact Cars,7/1/22,Yes,394,279
BMW,M240i xDrive Coupe,3,6,Auto(S8),23,32,Turbocharged,Semi-Automatic,8,All Wheel Drive,2100,2,2,Subcompact Cars,7/1/22,Yes,389,276
BMW,M4 Competition Coupe,3,6,Auto(S8),16,23,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2900,2,2,Subcompact Cars,7/1/22,Yes,541,383
BMW,M4 Competition M xDrive Coupe,3,6,Auto(S8),16,22,Turbocharged,Semi-Automatic,8,All Wheel Drive,3050,2,2,Subcompact Cars,7/1/22,Yes,546,392
BMW,M4 Coupe,3,6,Manual(M6),16,23,Turbocharged,Manual,6,"2-Wheel Drive, Rear",2900,2,2,Subcompact Cars,7/1/22,Yes,548,379
BMW,M4 CSL Coupe,3,6,Auto(S8),16,23,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",3050,2,2,Subcompact Cars,7/29/22,Yes,564,388
BMW,M440i Convertible,3,6,Auto(S8),23,31,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2100,2,2,Subcompact Cars,7/1/22,Yes,385,284
BMW,M440i Coupe,3,6,Auto(S8),24,32,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2050,2,2,Subcompact Cars,7/1/22,Yes,367,274
BMW,M440i xDrive Convertible,3,6,Auto(S8),22,31,Turbocharged,Semi-Automatic,8,All Wheel Drive,2200,2,2,Subcompact Cars,7/1/22,Yes,397,288
BMW,M440i xDrive Coupe,3,6,Auto(S8),22,31,Turbocharged,Semi-Automatic,8,All Wheel Drive,2200,2,2,Subcompact Cars,7/1/22,Yes,401,284
BMW,M4CompetitionMxDriveConvertible,3,6,Auto(S8),16,23,Turbocharged,Semi-Automatic,8,All Wheel Drive,3050,2,2,Subcompact Cars,7/1/22,Yes,562,388
BMW,M8 Competition Convertible,4.4,8,Auto(S8),15,22,Turbocharged,Semi-Automatic,8,All Wheel Drive,3200,2,2,Subcompact Cars,4/1/22,Yes,603,411
BMW,M8 Competition Coupe,4.4,8,Auto(S8),15,22,Turbocharged,Semi-Automatic,8,All Wheel Drive,3200,2,2,Subcompact Cars,4/1/22,Yes,603,411
BMW,M850i xDrive Convertible,4.4,8,Auto(S8),17,24,Turbocharged,Semi-Automatic,8,All Wheel Drive,2900,2,2,Subcompact Cars,4/1/22,Yes,526,372
BMW,M850i xDrive Coupe,4.4,8,Auto(S8),17,24,Turbocharged,Semi-Automatic,8,All Wheel Drive,2900,2,2,Subcompact Cars,4/1/22,Yes,526,372
General Motors,CAMARO,2,4,Auto(S8),22,30,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",2200,2,2,Subcompact Cars,5/20/22,No,412,296
General Motors,CAMARO,2,4,Manual(M6),19,28,Turbocharged,Manual,6,"2-Wheel Drive, Rear",2500,2,2,Subcompact Cars,5/25/22,No,474,313
General Motors,CAMARO,3.6,6,Auto(S10),18,29,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",2000,2,2,Subcompact Cars,6/6/22,No,485,310
General Motors,CAMARO,3.6,6,Manual(M6),16,26,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",2200,2,2,Subcompact Cars,5/26/22,No,544,340
General Motors,CAMARO,6.2,8,Auto(S10),13,21,Supercharged,Semi-Automatic,10,"2-Wheel Drive, Rear",3400,1,1,Subcompact Cars,5/19/22,No,692,424
